Country,Value
India,77
United States,52
Iran,41
China,33
Italy,18
Mexico,18
Malaysia,17
United Kingdom,14
Brazil,13
South Korea,13
Turkey,12
Saudi Arabia,11
Germany,10
Spain,10
Switzerland,9
France,7
Iraq,7
Singapore,6
Taiwan,6
Thailand,6
Colombia,5
Philippines,5
Canada,4
Netherlands,4
Australia,3
Azerbaijan,3
Ethiopia,3
Kuwait,3
Pakistan,3
Portugal,3
Argentina,2
Austria,2
Czech Republic,2
Denmark,2
Greece,2
Lebanon,2
Norway,2
Sweden,2
Tunisia,2
Bangladesh,1
Belgium,1
Bosnia and Herzegovina,1
Egypt,1
Hungary,1
Indonesia,1
Ireland,1
Japan,1
Jordan,1
Kenya,1
Lithuania,1
Namibia,1
Nigeria,1
Qatar,1
Romania,1
South Africa,1
Sri Lanka,1
Sudan,1
Undefined,1
United Arab Emirates,1
Uruguay,1
Viet Nam,1
Yemen,1
