"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Ссылка","Краткое описание","Ключевые слова автора"
"Sankoju, A.S.; Shastri, Y.","Sankoju, Anupam Satyakam (60175620300); Shastri, Yogendra N. (8620710400)","60175620300; 8620710400","Regional sustainability of food–energy–water nexus considering water stress using multi-objective modeling and optimization","2026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020854673&partnerID=40&md5=8ea64c1e43576d96edfd12faa4fc7a7a","In this work, a regional optimization model is developed to achieve energy–water nexus sustainability in the context of lignocellulosic biofuels. The regional water availability is determined as a function of precipitation. Detailed water balance at the district level accounts for groundwater recharge and surface water availability. Water left over from the previous season can be used in the next season. The water withdrawal for crops providing agricultural residue to produce ethanol is limited by a seasonal water stress factor. The key decision variables are land allocation for selected crops and choice of residues for ethanol production, all while ensuring state-level ethanol production targets are met. The primary goals are to maximize farmers’ profit, minimize ethanol cost, and minimize water withdrawals while meeting the ethanol production targets. The resulting multi-objective mixed-integer linear programming problem is applied to a case study of 33 districts in Maharashtra, India. Results compare optimized land practices from the model with current practices, where current land use causes 78.5% water stress. Upon further reducing water consumption by 38.5% compared to the current land use practices and for an ethanol blending rate of 15%, profits reduced by 27.6%, from USD 388.06/ha to USD 288.88/ha. The ethanol water footprint decreased 1.7-fold from 937 to 528 liters per liter of ethanol, and irrigation water use dropped 14.8-fold from 3878 to 262 m3/ha. © 2025 Elsevier Ltd","Energy–water nexus; Optimization; Regional sustainability; Water stress"
"Kumar, G.; Sowlati, T.","Kumar, Gaurav (57639432100); Sowlati, Taraneh (7004194496)","57639432100; 7004194496","Hybrid Simulation Optimization Method for Biomass Supply Chain Planning: A Systematic Review","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019490083&partnerID=40&md5=6d7ba288c79403d0c3ff1b41e3875ccf","As the global demand for fossil-based products increases, biomass offers a sustainable and renewable alternative. However, its utilization faces significant supply chain challenges. The biomass supply chain (BSC) encompasses harvesting, collection, transportation, storage, preprocessing, production, and delivery of bio-products. High moisture content and low calorific value of biomass result in high cost of logistics, and consequently high cost of delivered biomass. Other challenges in BSC are related to uncertainties and variations in biomass availability and quality, weather conditions, demand, prices, costs, and policies. Integrating strategic, tactical, and operational decisions is essential to ensure that high-level plans are implementable at lower levels; however, accounting for uncertainties in such integrated decision-making models requires advanced techniques. This paper reviews existing studies on hybrid simulation optimization techniques—specifically the integration of simulation models (e.g., Discrete Event Simulation) with optimization approaches (e.g., mixed integer linear programming)) in BSC management, focusing on forest-based, agricultural BSC planning, and biomass to biofuel/bioenergy supply chain planning. The studies are further categorized into three subgroups based on their use of hybrid models: (1) manage uncertainties, (2) tackle large-scale problems, and (3) interpret complex interdependencies. We analyzed 31 articles published till July 2025 using a systematic approach that combines bibliometric and descriptive analyses. The most commonly applied simulation and optimization approaches were Monte Carlo, discrete event simulation, mixed integer linear programming, and stochastic modeling. Future research could focus on developing multi-objective hybrid models to address sustainability, using machine learning techniques to address uncertainties, and considering relevant governmental policies in the models. Emphasis on resiliency and use of agent-based simulation can enhance decision-making and sustainability. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Agricultural biomass; Decision-making; Forest-based biomass; Large-scale optimization problems; Uncertainty"
"Panwar, P.; Singh, A.P.; Chauhan, A.; Arora, R.","Panwar, Prajwal (59744039600); Singh, Anubhav Pratap (57193881628); Chauhan, Anand (57427305800); Arora, Ritu (57211238842)","59744039600; 57193881628; 57427305800; 57211238842","Optimization of a macro-algae-based biodiesel supply chain: a multi-objective approach","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002996942&partnerID=40&md5=7a8348b061b12ddd5724a13350147280","The rising consumption of fossil fuels and the emission of greenhouse gases have made sustainable energy generation an absolute necessity. With its ability to be produced from a variety of biomass sources, including non-edible ones like macro-algae, animal fat and used cooking oil, biofuels have the potential to provide a sustainable energy alternative to non-renewable sources. Macro-algae serves as a cost-effective and accessible solution for energy generation. Accelerated biodiesel supply chain development is essential to support large-scale sustainable production. This research focuses on designing an optimized and sustainable supply chain for third-generation biodiesel production from macro-algae. The main contribution lies in developing a multi-objective optimization model that minimizes supply chain costs and environmental impacts while addressing critical factors such as transportation logistics, facility placement and the impact of advertising on biodiesel demand. The proposed strategy effectively reduces supply chain costs and environmental impacts. Advertising promotes biodiesel as an alternative to fossil fuels, thereby influencing its demand. The proposed multi-objective optimization model is implemented using the Genetic Algorithm. Three macro-algae species (Ulva fasciata, Cystoseira indica and Gracilaria corticata) are strategically integrated into an extensive network of bio-refineries, biodiesel depots, multi-extraction centres and diverse supply sources. The findings highlight substantial costs associated with biofuel supply chain installation, with production facilities accounting for 61.6% of the biodiesel setup costs. Biofuel supply chain installation contributes 69.8% of the total environmental impact. A numerical example and sensitivity analysis of essential factors are conducted to assess the model’s practicality and validity. © The Author(s) 2025.","Advertisement; Biodiesel; Genetic algorithm; Macro-algae; Sustainable energy"
"Wang, S.; Ha, C.; Li, C.; Leng, S.; Xu, S.; Li, C.; Xiu, X.; Dang, C.; Wang, C.; Qin, J.","Wang, Sibo (57191713227); Ha, Chan (57224484246); Li, Chengjie (58389015600); Leng, Shuang (58659793900); Xu, Shiyi (58040375500); Li, Chenghao (56024703600); Xiu, Xinyan (57659208400); Dang, Chaolei (57202786570); Wang, Cong (58631202900); Qin, Jiang (12239694000)","57191713227; 57224484246; 58389015600; 58659793900; 58040375500; 56024703600; 57659208400; 57202786570; 58631202900; 12239694000","Performance evaluation of a biodiesel-methanol dual-fuel high temperature proton exchange membrane fuel cell cogeneration system for marine applications","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017119500&partnerID=40&md5=40812fba7672724fe791fc178efff7ab","In response to the International Maritime Organization's (IMO) 2050 net-zero greenhouse gas emissions target for shipping, this study proposes a high-temperature proton exchange membrane fuel cell (HT-PEMFC) cogeneration system utilizing biodiesel-methanol dual-fuel. The system aims to enhance the energy efficiency and environmental sustainability of marine power systems. Biodiesel is converted into hydrogen-rich syngas via autothermal reforming, while the residual heat drives methanol steam reforming. This configuration enables cascading waste heat utilization and fuel complementarity. The performances of single-fuel and dual-fuel systems are compared using an energy-economy-environment (3E) analysis. Results indicate that the dual-fuel system achieves a power generation efficiency of 40.85 %, representing a 9.99 % increase over the single-fuel system. Combined heat and power (CHP) efficiency rises by 2.81 %–82.95 %, and power generation increases by 101.33 % (reaching 855.10 kW). Life cycle assessment reveals that the green methanol pathway reduces carbon emissions by 55.41 % (to 294.58 g/kWh) compared to conventional diesel. Optimal operating parameters, determined via NSGA-II multi-objective optimization, further improve power generation efficiency to 47.06 %–15.20 % higher than the design operating point. This system presents a new technical pathway for ship decarbonization through multi-fuel complementarity and efficient waste heat recovery. © 2025","3E analysis; Biodiesel; Green methanol; High temperature proton exchange membrane fuel cells; Low carbon shipping"
"Garcia, V.F.; Palacios-Bereche, R.; Ensinas, A.V.","Garcia, Victor Fernandes (58903619200); Palacios-Bereche, Reynaldo (37561749200); Ensinas, Adriano V. (22134119000)","58903619200; 37561749200; 22134119000","A Multi-Objective Framework for Biomethanol Process Integration in Sugarcane Biorefineries Under a Multiperiod MILP Superstructure","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023213191&partnerID=40&md5=e2e7faa9894db20e1bbc2fb012e28476","The growing demand for renewable energy positions biorefineries as key to enhancing biofuel competitiveness. This study proposes a novel MILP superstructure integrating resource seasonality, process selection, and heat integration to optimize biomethanol production in a sugarcane biorefinery. A multi-objective optimization balancing net present value (NPV) and avoided CO<inf>2</inf> emissions reveals that energy integration improves environmental performance with limited economic impact. The model estimates the production of up to 66.85 kg of biomethanol/ton sugarcane from bagasse gasification, 40.7 kg e-methanol/ton sugarcane via CO<inf>2</inf> hydrogenation, and 3.68 kg of biomethane/ton sugarcane from biogas upgrading. Hydrogen production through biomethane reforming and photovoltaic-powered electrolysis increases methanol output without raising emissions. The integrated system achieves energy efficiencies of up to 57.3% and enables the avoidance of up to 493 kg of CO<inf>2</inf>/ton sugarcane over the planning horizon. When thermal integration is excluded, efficiency drops by 8% and net energy production per area falls by 11%, due to the need to divert bagasse to cogeneration. Although economic challenges remain, CO<inf>2</inf> remuneration ranging from USD 3.27 to USD 129.79 per ton could ensure project viability. These findings highlight the role of integrated energy systems in enabling sustainable and economically feasible sugarcane biorefineries. © 2025 by the authors.","biomethanol production; heat integration; MILP-based superstructure; multi-objective optimization; sugarcane biorefinery"
"Vega, A.; Fermoso, D.; Rubiera, F.; Pevida, C.; Gil, M.V.","Vega, A. (60103368500); Fermoso, Javier (7405453727); Rubiera, F. (7003325364); Pevida, Covadonga (6506858592); Gil, María Victoria (35179352000)","60103368500; 7405453727; 7003325364; 6506858592; 35179352000","Process flexibility of sorption-enhanced steam reforming for hydrogen production from gas mixtures representative of biomass-derived syngas","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016306912&partnerID=40&md5=40b4e6d20da636b1995838b471e33792","Hydrogen is a critical enabler of CO<inf>2</inf> valorization, essential for the synthesis of carbon-neutral fuels such as e-fuels and advanced biofuels. Biohydrogen, produced from renewable biomass, is a stable and dispatchable source of low-carbon hydrogen, helping to address supply fluctuations caused by the intermittency of renewable electricity and the limited availability of electrolytic hydrogen. This study experimentally demonstrates that sorption-enhanced steam reforming (SESR) is a robust and adaptable process for hydrogen production from biomass-derived syngas-like gas streams. By incorporating in situ CO<inf>2</inf> capture, SESR overcomes the thermodynamic limits of conventional reforming, achieving high hydrogen yields (>96 %) and purities (up to 99.8 vol%) across a wide range of syngas compositions. The process maintains high conversion efficiency despite variations in CO, CH<inf>4</inf>, and CO<inf>2</inf> concentrations, and sustains performance even with H<inf>2</inf>-rich feeds, conditions that typically inhibit reforming reactions. Among the operating parameters, temperature has the greatest influence on performance, followed by the steam-to-carbon ratio and space velocity. Multi-objective optimization shows that SESR can maintain high hydrogen yield (>96 %), selectivity (>99 %), and purity (>99.5 vol%) within a moderately flexible operating window. Methane reforming is identified as the main performance-limiting step, with a stronger constraint on H<inf>2</inf> yield and purity than CO conversion through the water–gas shift reaction. In addition to hydrogen, SESR produces a concentrated CO<inf>2</inf> stream suitable for downstream utilization or storage. These results support the potential of SESR as a flexible and efficient approach for hydrogen production from heterogeneous renewable feedstocks. © 2025 The Authors","Biomass; CO2 capture; Dolomite; Hydrogen production; Sorption-enhanced steam reforming; Syngas"
"Sukpancharoen, S.; Udol, P.; Supsomboon, P.; Srinophakun, T.R.","Sukpancharoen, Somboon (57201732584); Udol, Prawdown (60058181900); Supsomboon, Pornpitcha (60058182000); Srinophakun, Thongchai Rohitatisha (7801658176)","57201732584; 60058181900; 60058182000; 7801658176","Integrated multi-objective MINLP optimization for cost-effectiveness and safety in multi-floor process layout for manufacturing industries","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013845463&partnerID=40&md5=738a9291bc5d8bbac3c93e9a9e6739ed","Process layout design critically determines manufacturing efficiency, operational costs, and workplace safety. Traditional approaches treat these objectives as competing trade-offs, forcing engineers to compromise either economics or safety. This study demonstrates that properly integrated safety constraints actually reduce total costs. A mixed integer nonlinear programming (MINLP) framework was developed through General Algebraic Modeling System (GAMS) that simultaneously optimizes economic aspects, safety aspects, and multi-floor design. The methodology was applied to five industrial plant types: petrochemical, food and pharmaceutical, polymer, biofuel, and chemical fertilizer facilities, handling equipment weight variations ranging from 41.874 kg to 9,865.21 kg. Process data were obtained from Aspen Plus simulations, Dow's Fire & Explosion Index, and engineering heuristics for piping/pumping cost estimation. To overcome GAMS's computational limits (maximum 2,500 variables and 2,500 constraints), the problem was decomposed into three sequential models: Model 1 for material selection, Model 2 for multi-floor layout optimization, and Model 3 for section arrangement. Each model incorporates over 75 constraints ensuring structural integrity, safety compliance, and operational feasibility. The designs were validated through AutoCAD Plant 3D visualization. Results demonstrate significant improvements: the biodiesel plant achieved 14.4 % cost reduction when safety constraints were integrated, all facilities successfully implemented adaptive multi-floor configurations (1–3 floors), and the framework scaled effectively across diverse applications. This work provides comprehensive evidence that integrated safety-economic optimization delivers superior outcomes, transforming safety from a cost burden into an economic opportunity. All codes and test files are available at https://github.com/sombsuk/ProcessLayout. © 2025 Elsevier Ltd","Constraint programming; Equipment placement; Fire and explosion index; General algebraic modeling system; Mixed integer nonlinear programming; Process simulation"
"Avendano, M.; Lao, J.; Fu, Q.; Nair, S.; Realff, M.J.","Avendano, Marco (58908489600); Lao, Jianpei (59325218500); Fu, Qiang (57226389589); Nair, Sankar (7402726184); Realff, Matthew J. (7004685320)","58908489600; 59325218500; 57226389589; 7402726184; 7004685320","Comparing separation alternatives for recovering 2,3 butanediol in a biorefinery: Multi-objective optimization of economic and environmental performance","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012193252&partnerID=40&md5=847de0f4fe5493f143afc14c507050bc","In this study, two separation pathways for recovering 2,3-butanediol (BDO) from a dilute aqueous fermentation stream were compared: distillation and simulated moving bed (SMB) adsorption followed by distillation. A multi-objective optimization framework employing Pareto fronts was used to evaluate the economic and environmental impact of integrating each pathway into a biorefinery producing renewable fuel from corn stover-derived BDO. Minimum fuel selling price (MFSP) and lifecycle greenhouse gas (GHG) emissions of the renewable fuel were chosen as the objective functions. Using a single distillation column to recover BDO resulted in GHG emissions of 43 g<inf>CO2e</inf> (CO<inf>2</inf> equivalent)/MJ, ∼50 % lower than petroleum-based fuel (93 g<inf>CO2e</inf>/MJ), but an MFSP of $2.55/GGE (gallon of gasoline equivalent, 1GGE = 121.3 MJ), exceeding the $2.50/GGE threshold set by the U.S. Department of Energy. In comparison, the SMB system lowered energy demand in the distillation columns and reduced GHG emissions to 18 g<inf>CO2e</inf>/MJ and MFSP to $2.40/GGE. Further exploration of this pathway led to the use of heat pumps to replace fossil-based steam utilities in the distillation columns. The final separation process design recommendation was an SMB system followed by two distillation columns, with only one column electrified by a mechanical vapor recompression (MVR) heat pump loop. This configuration attained GHG emissions of 13 g<inf>CO2e</inf>/MJ and an MFSP of $2.50/GGE. These findings highlight the economic and environmental advantages of employing a material-based separation such as SMB adsorption and integrating heat pump-assisted distillation to efficiently reduce reliance on fossil-based utilities. © 2025 The Authors","Adsorption; Biofuels; Distillation; Heat pumps; Life cycle analysis; Multi-objective optimization; Technoeconomic analysis"
"Thangavelu, S.K.; Kaliamoorthy, K.; Ahmed, A.S.; Sia, C.C.V.","Thangavelu, Saravana Kannan (57201849835); Kaliamoorthy, Mylsamy (25929287600); Ahmed, Abu Saleh (36658949100); Sia, Charlie Chin Voon (57300285100)","57201849835; 25929287600; 36658949100; 57300285100","A hybrid multi-objective optimization and decision-making framework (NSGA-II–TOPSIS) for bioethanol production from sago pith waste via microwave-enhanced subcritical water hydrolysis","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011935370&partnerID=40&md5=2992f386cb70ce5132f46313828917be","This study presents a hybrid multi-objective optimization and decision-making framework to enhance bioethanol production from sago pith waste (SPW) using microwave-enhanced subcritical water hydrolysis (MW–SWH). A Central Composite Design (CCD) investigated the effects of temperature (180–260 °C), reaction time (10–30 min), microwave power (200–600 W), and water-to-biomass ratio (5–20 mL/g) on sugar and ethanol yields. Response Surface Methodology (RSM) developed predictive models (R2 > 0.95), while Non-dominated Sorting Genetic Algorithm II (NSGA-II) simultaneously maximized ethanol yield and minimized energy consumption. TOPSIS identified the most balanced conditions from the Pareto-optimal front. Under optimal conditions, MW–SWH achieved ∼80% sugar yield and ∼71% ethanol yield (27.5 g/100 g SPW), outperforming conventional acid and enzymatic hydrolysis in yield and process efficiency. A specific energy demand of ∼4.72 kWh/kg ethanol was recorded, significantly lower than typical benchmarks. FTIR analysis confirmed effective carbohydrate depolymerization, which correlated with enhanced fermentation performance, yielding an ethanol coefficient of approximately 0.48 g/g. This integrated MW–SWH–NSGA-II–TOPSIS strategy demonstrates a scalable, energy-efficient pathway for valorizing low-lignin, high-starch SPW into bioethanol. The approach shows broader applicability for optimizing lignocellulosic biorefineries and supports sustainable biofuel production aligned with circular economy principles. © 2025 Elsevier B.V.","Bioethanol; Microwave subcritical water hydrolysis; Multi-criteria decision-making; NSGA-II; RSM; Sago pith waste"
"Kim, S.; Tariq, S.; Heo, S.; Moosazadeh, M.; Yoo, C.","Kim, Sangyoun (57212149808); Tariq, Shahzeb (57215488706); Heo, Sungku (57201362576); Moosazadeh, Mohammad (57773204800); Yoo, Changkyoo (7201746395)","57212149808; 57215488706; 57201362576; 57773204800; 7201746395","Multi-objective pathway selection for sustainable biorefinery process with harvest scheduling under time-varying climate: Techno-economic analysis and life cycle assessment approach","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011527054&partnerID=40&md5=a2f1543c18ee9f1299b64c31541e33fd","Microalgae are recognized for their rapid growth rate and serve as an efficient biofuel production feedstock to address critical sustainability and energy security challenges. However, the primary challenge for stable biorefinery operations lies in the cultivation phase, as microalgae growth is highly dependent on time-varying climatic conditions. This work presents an optimal biorefinery process pathway to address this issue by integrating economic and environmental considerations with harvest scheduling under fluctuating climate conditions. In the first stage, a kinetic growth model was developed for eight microalgae species, incorporating temperature and solar radiation data. Harvest scheduling was then optimized using a genetic algorithm to find the optimal harvest interval for each microalgae species, maximizing the biomass yield under time-varying climate conditions. Subsequently, a multi-objective superstructure optimization approach was employed to select the optimal biorefinery process pathway, balancing the net operational margin and carbon dioxide emissions. The performance of the selected biorefinery process was evaluated through techno-economic analysis and life cycle assessment across four regions in South Korea: Jeju, Yeosu, Ulsan, and Daesan. Among the eight microalgae species studied, Asterionella formosa achieved the highest biomass yield, producing 2,300 tons annually with an optimal harvest interval of 17.5 days under average temperature conditions. The optimized process improved the net operational margin by 2.49 M$ per year and reduced carbon dioxide emissions by 41.4 % compared to the base case. The proposed method provides an integrated framework for large-scale microalgae-based biorefinery processes from microalgae species selection to optimal harvest strategy and process pathway under time-varying climatic conditions, providing a levelized cost of biofuels and global warming protention to achieve sustainable development goal. © 2025 Elsevier Ltd","Harvest scheduling; Life cycle assessment; Microalgae biorefinery; Multi-objective superstructure optimization; Techno-economic analysis"
